,price,Volume,day_of_week,week_of_year,month_of_year,quarter_of_year,semester_of_year,lag_1_week,Vol_1_month,SMA20,SMA50,RSI,return
2020-05-25,288.01348876953125,5142.0,0,22,5,2,1,284.5255126953125,5110.0,280.3074890136719,263.74442596435546,56.97677955930113,0.018760926908401254
2020-05-26,288.17059326171875,5471.0,1,22,5,2,1,283.59539794921875,13980.0,280.8447540283203,264.7352377319336,57.86577258479045,0.0005454761610599324
2020-05-27,287.5,5720.0,2,22,5,2,1,284.5768127441406,13221.0,281.24375915527344,265.67161163330076,71.22535417304765,-0.0023270704138423914
2020-05-28,291.335205078125,37378.0,3,22,5,2,1,281.85198974609375,10512.0,281.59102935791014,266.8589157104492,84.08553495840023,0.01333984375000008
2020-05-29,285.8371887207031,21216.0,4,22,5,2,1,282.7095947265625,15182.0,281.92059936523435,267.82182342529296,68.16301744072192,-0.018871788447082816
2020-06-01,290.00579833984375,21856.0,0,23,6,2,1,288.01348876953125,12789.0,282.89096984863284,269.03980926513674,60.90500793078236,0.014583860266040638
2020-06-02,290.6275939941406,3118.0,1,23,6,2,1,288.17059326171875,31796.0,283.4721145629883,270.1521810913086,64.1669259078462,0.002144080076524002
2020-06-03,295.3747863769531,6884.0,2,23,6,2,1,287.5,10413.0,284.357243347168,271.3546789550781,68.88758877211563,0.01633427961044953
2020-06-04,292.29998779296875,6726.0,3,23,6,2,1,291.335205078125,3813.0,284.93721771240234,272.760270690918,68.05437194664057,-0.010409820762630528
2020-06-05,300.44500732421875,11803.0,4,23,6,2,1,285.8371887207031,19340.0,285.84312744140624,273.96368286132815,74.48139317398667,0.02786527496203317
2020-06-08,300.7742919921875,6018.0,0,24,6,2,1,290.00579833984375,4897.0,286.7121322631836,275.0332586669922,70.41884049761603,0.0010959898149127678
2020-06-09,298.7654113769531,5787.0,1,24,6,2,1,290.6275939941406,4329.0,287.5004028320312,275.97314880371096,66.00454913834673,-0.006679030318477386
2020-06-10,298.0,2009.0,2,24,6,2,1,295.3747863769531,8002.0,288.59217834472656,277.0031488037109,65.81600944371101,-0.002561914290631906
2020-06-11,286.705810546875,6557.0,3,24,6,2,1,292.29998779296875,5749.0,289.2871490478516,277.7276690673828,44.30623575583054,-0.037899964607801984
2020-06-12,285.5002136230469,8419.0,4,24,6,2,1,300.44500732421875,4465.0,289.8307342529297,278.338073425293,49.5366228272638,-0.004204996478894274
2020-06-15,283.989990234375,9437.0,0,25,6,2,1,300.7742919921875,4381.0,289.8039581298828,279.1315573120117,41.07510232170669,-0.005289745214221986
2020-06-16,293.87890625,7813.0,1,25,6,2,1,298.7654113769531,4743.0,290.31813354492186,280.08846557617187,53.78327799577422,0.03482135411696641
2020-06-17,295.5888977050781,44509.0,2,25,6,2,1,298.0,1732.0,290.8687377929688,281.090817565918,50.268092826759144,0.005818694090359289
2020-06-18,294.3194885253906,2281.0,3,25,6,2,1,286.705810546875,39494.0,291.4921127319336,281.8674072265625,52.64839199483248,-0.004294508993886614
2020-06-19,296.7998962402344,3363.0,4,25,6,2,1,285.5002136230469,2868.0,292.1966278076172,282.53654113769534,44.38562598415943,0.008427602695530556
2020-06-22,293.12249755859375,1429.0,0,26,6,2,1,283.989990234375,5142.0,292.4520782470703,283.1277728271484,39.31624732835876,-0.012390161614692974
2020-06-23,295.82708740234375,1105.0,1,26,6,2,1,293.87890625,5471.0,292.83490295410155,283.67388427734375,45.97557499249728,0.009226824506056053
2020-06-24,288.3055114746094,3763.0,2,26,6,2,1,295.5888977050781,5720.0,292.875178527832,284.03399475097655,38.7956848772484,-0.025425582199998353
2020-06-25,288.5,2567.0,3,26,6,2,1,294.3194885253906,37378.0,292.7334182739258,284.4783966064453,52.78924835658656,0.0006745917703614435
2020-06-26,288.1622009277344,3082.0,4,26,6,2,1,296.7998962402344,21216.0,292.8496688842773,284.86697875976563,54.25308249501692,-0.001170880666432006
2020-06-29,288.5621032714844,21338.0,0,27,6,2,1,293.12249755859375,21856.0,292.77748413085936,285.1808386230469,57.5736160188457,0.0013877682168672578
2020-06-30,290.7499084472656,1918.0,1,27,6,2,1,295.82708740234375,3118.0,292.7835998535156,285.4958367919922,43.04152782207985,0.007581748091581186
2020-07-01,292.4259033203125,1401.0,2,27,7,3,2,288.3055114746094,6884.0,292.6361557006836,286.05717895507814,42.955271804366646,0.005764386589139248
2020-07-02,297.1275939941406,9243.0,3,27,7,3,2,288.5,6726.0,292.8775360107422,286.59357299804685,55.424895942647595,0.01607822911870449
2020-07-03,295.0502014160156,1431.0,4,27,7,3,2,288.1622009277344,11803.0,292.60779571533203,287.02100524902346,46.566349337153426,-0.00699158415480583
2020-07-06,299.0215148925781,2316.0,0,28,7,3,2,288.5621032714844,6018.0,292.52015686035156,287.5784674072266,61.44437931830696,0.013459789071497807
2020-07-07,298.73388671875,2640.0,1,28,7,3,2,290.7499084472656,5787.0,292.5185806274414,288.00463928222655,56.22291968284996,-0.0009618979220658019
2020-07-08,294.6789855957031,6101.0,2,28,7,3,2,292.4259033203125,2009.0,292.35252990722654,288.30782104492187,66.02267845086848,-0.013573622890878934
2020-07-09,293.84130859375,793.0,3,28,7,3,2,297.1275939941406,6557.0,292.7093048095703,288.4968511962891,63.00721169567001,-0.002842676413656542
2020-07-10,296.67889404296875,4070.0,4,28,7,3,2,295.0502014160156,8419.0,293.2682388305664,288.84551330566404,68.48891427026841,0.009656863641122282
2020-07-13,301.4049072265625,4060.0,0,29,7,3,2,299.0215148925781,9437.0,294.1389846801758,289.46164367675783,73.47175077275571,0.015929724960176195
2020-07-14,295.7430114746094,2274.0,1,29,7,3,2,298.73388671875,7813.0,294.23218994140626,289.79640991210937,58.097249744136924,-0.01878501516133957
2020-07-15,300.24481201171875,1669.0,2,29,7,3,2,294.6789855957031,44509.0,294.4649856567383,290.24786193847655,61.61526590757837,0.01522200140812413
2020-07-16,298.70709228515625,7940.0,3,29,7,3,2,293.84130859375,2281.0,294.6843658447266,290.60799377441407,52.58985713928294,-0.00512155302954076
2020-07-17,299.28271484375,2156.0,4,29,7,3,2,296.67889404296875,3363.0,294.80850677490236,290.9471118164063,57.299411061930606,0.001927046841071478
2020-07-20,301.0,2834.0,0,30,7,3,2,301.4049072265625,1429.0,295.20238189697267,291.2992279052734,53.69974490814982,0.005738003135752567
2020-07-21,302.8811950683594,2512.0,1,30,7,3,2,295.7430114746094,1105.0,295.5550872802734,291.6968518066406,57.319202518815175,0.006249817502855137
2020-07-22,299.568603515625,2932.0,2,30,7,3,2,300.24481201171875,3763.0,296.11824188232424,292.16493408203127,58.86141127306152,-0.010936933710878671
2020-07-23,299.64959716796875,2218.0,3,30,7,3,2,298.70709228515625,2567.0,296.6757217407227,292.7017980957031,60.823152354154765,0.0002703676266244681
2020-07-24,294.4117126464844,4144.0,4,30,7,3,2,299.28271484375,3082.0,296.98819732666016,293.09746215820314,46.122222720994834,-0.01748003191390335
2020-07-27,292.2301025390625,17756.0,0,31,7,3,2,301.0,21338.0,297.1715972900391,293.2515539550781,32.811377971303514,-0.007410065611219263
2020-07-28,294.3096008300781,1922.0,1,31,7,3,2,302.8811950683594,1918.0,297.3495819091797,293.4658380126953,46.89821222911361,0.007115961952405936
2020-07-29,293.65771484375,41256.0,2,31,7,3,2,299.568603515625,1401.0,297.4111724853516,293.6474560546875,32.89624241271653,-0.0022149667713508014
2020-07-30,290.8815002441406,26687.0,3,31,7,3,2,299.64959716796875,9243.0,297.09886779785154,293.82804626464844,30.908330144303008,-0.009453913380367163
2020-07-31,290.0,19430.0,4,31,7,3,2,294.4117126464844,1431.0,296.84635772705076,293.9738543701172,27.686488770474014,-0.003030444505411234
2020-08-03,296.139892578125,3852.0,0,32,8,3,2,292.2301025390625,2316.0,296.7022766113281,294.1363824462891,40.36582473902502,0.02117204337284484
2020-08-04,296.2096862792969,2241.0,1,32,8,3,2,294.3096008300781,2640.0,296.5760665893555,294.29716430664064,35.751864017936285,0.00023567814712244228
2020-08-05,296.0950927734375,17709.0,2,32,8,3,2,293.65771484375,6101.0,296.64687194824216,294.46906616210936,41.408099425093,-0.000386866166663169
2020-08-06,296.08599853515625,1390.0,3,32,8,3,2,290.8815002441406,793.0,296.7591064453125,294.56408203125,41.153797203687205,-3.071391084552566e-05
2020-08-07,298.7065124511719,1229.0,4,32,8,3,2,290.0,4070.0,296.86048736572263,294.8214685058594,62.25363346022437,0.008850516164155886
2020-08-10,299.4501953125,2216.0,0,33,8,3,2,296.139892578125,4060.0,296.7627517700195,295.0103564453125,72.44122869587653,0.0024896774269349553
2020-08-11,301.8345031738281,1480.0,1,33,8,3,2,296.2096862792969,2274.0,297.0673263549805,295.23449462890625,72.95370087653319,0.007962285210199704
2020-08-12,303.418701171875,3033.0,2,33,8,3,2,296.0950927734375,1669.0,297.2260208129883,295.3953729248047,78.17219984991175,0.005248564963212798
